rewards,progresses,cross_track_errors,timesteps,durations,collisions,goals_reached
-1147.1495395972495,0.33503085334924027,36.01855406976313,383.0,383.0,1.0,1370
-167.48471651046742,1.0006101530120308,50.69641749783225,756.0,756.0,0.0,1370
-1007.366708961735,0.5490656965662127,38.634796358164245,280.0,280.0,1.0,1370
-374.4474855162601,0.9988841264688314,82.59859765307097,810.0,810.0,0.0,1370
-1754.8666081179317,0.0,139.6006276913109,774.0,774.0,1.0,1370
-1189.5035439329404,0.16680151873818982,52.458356961934136,432.0,432.0,1.0,1370
-1600.9809014828002,0.19924178182938007,112.59287216087785,745.0,745.0,1.0,1370
-1179.2571635875806,0.27186713741428636,34.9776927143404,455.0,455.0,1.0,1370
143.06829332635985,0.9912263212045752,16.75907008540235,745.0,745.0,0.0,1370
121.19645690783948,0.9903266774562514,22.440105750480225,808.0,808.0,0.0,1370
-1738.55859228669,0.16247949615603963,201.57338918973298,2002.0,2002.0,0.0,1370
-17.76039062967622,0.9996078822544878,21.70710345222271,703.0,703.0,0.0,1370
-976.4170691010281,0.21938606334157354,10.404860743478407,202.0,202.0,1.0,1370
-1994.352912826703,0.23429181458682571,154.38677220734394,1261.0,1261.0,1.0,1370
-72.71868772720464,1.0013027499152887,47.49532252457416,691.0,691.0,0.0,1370
-1509.8260955256305,0.0,113.43990538051135,2002.0,2002.0,0.0,1370
104.98449144889797,0.9904999486401526,26.542018530906233,747.0,747.0,0.0,1370
-559.8532618784488,0.9906488402076737,92.86525078940738,1325.0,1325.0,0.0,1370
-1738.55859228669,0.16247949615603963,201.57338918973298,2002.0,2002.0,0.0,1370
-1760.6448209894806,0.04726594845705742,261.7877170888801,2002.0,2002.0,0.0,1370
-561.3034048371692,0.9921684764703536,89.25092854062116,1017.0,1017.0,0.0,1370
-1295.6303711650012,0.0,124.94591700874162,2002.0,2002.0,0.0,1370
-1299.2384655487283,0.2989181260540719,86.04432810684945,542.0,542.0,1.0,1370
-355.40679849155583,0.9903867653998742,44.75175888886807,1255.0,1255.0,0.0,1370
-10.11201417519346,0.9987722919218283,38.12656612410386,703.0,703.0,0.0,1370
-13.175687963189059,0.990744743943037,43.58451620102359,622.0,622.0,0.0,1370
-790.0031189844599,0.9910441196142686,96.35998625633913,1397.0,1397.0,0.0,1370
231.29642201678826,0.99041556143037,8.089902223041944,747.0,747.0,0.0,1370
-1526.7392049221994,0.30188754688534947,76.08534751294047,1055.0,1055.0,1.0,1370
0.4326181656772724,0.9906439104009938,34.52186013290803,744.0,744.0,0.0,1370
-212.78751746299596,0.990610932257252,42.86300543607563,989.0,989.0,0.0,1370
-575.2297856308995,0.9909048355324218,99.08061760499612,1098.0,1098.0,0.0,1370
-136.7681489024042,0.9902589910426345,51.42216781821956,841.0,841.0,0.0,1370
-963.7349609764526,0.5571359303205848,23.28142580791585,568.0,568.0,1.0,1370
-1292.897775789746,0.15456816127409156,97.33713793753998,447.0,447.0,1.0,1370
-51.06872314241117,0.990385069474229,51.38642778563284,733.0,733.0,0.0,1370
-1132.1963758382954,0.17084371751820568,41.014253075797484,337.0,337.0,1.0,1370
-1201.865655033408,0.5153836907724796,56.011099475035685,426.0,426.0,1.0,1370
-340.68483982409754,0.9902145218801596,92.99634963213111,969.0,969.0,0.0,1370
-487.6811464262077,0.9900412069925723,91.98354639340744,1268.0,1268.0,0.0,1370
-136.7681489024042,0.9902589910426345,51.42216781821956,841.0,841.0,0.0,1370
-963.7349609764526,0.5571359303205848,23.28142580791585,568.0,568.0,1.0,1370
-1292.897775789746,0.15456816127409156,97.33713793753998,447.0,447.0,1.0,1370
-263.29950821265294,0.9904504987796132,49.921082419428444,887.0,887.0,0.0,1370
-1132.1963758382954,0.17084371751820568,41.014253075797484,337.0,337.0,1.0,1370
-142.0306461880124,0.9906316493433566,55.66768259427279,829.0,829.0,0.0,1370
-1039.7694092042602,0.6387802045260974,39.94230399858412,503.0,503.0,1.0,1370
-1131.230964631727,0.6317813745575652,59.04187711981092,504.0,504.0,1.0,1370
-141.403153924815,1.0010106135132548,51.11343629508919,751.0,751.0,0.0,1370
121.53921898912778,0.9900491753646384,21.622410264206618,807.0,807.0,0.0,1370
148.24398510218435,0.9900426156768489,14.452590068538708,987.0,987.0,0.0,1370
-263.29950821265294,0.9904504987796132,49.921082419428444,887.0,887.0,0.0,1370
-109.9088674224582,0.9906420443846288,31.90612949090467,966.0,966.0,0.0,1370
88.39625129933634,0.9912961571992603,21.754861815651537,692.0,692.0,0.0,1370
75.31664724505147,0.9900134082485921,23.889908239758373,800.0,800.0,0.0,1370
-299.2775017390673,0.9907232284722566,65.7537893473057,1052.0,1052.0,0.0,1370
-889.4587387000715,0.46367790773126527,10.679922466833489,302.0,302.0,1.0,1370
-489.6879124995984,0.9907677303957576,95.96532049304308,1118.0,1118.0,0.0,1370
-439.1612793355609,0.990135729621525,66.05716789175605,1188.0,1188.0,0.0,1370
-196.4466055946734,0.9910030897297957,43.141875449442765,1261.0,1261.0,0.0,1370
-128.71912720318832,0.9902334726338786,35.826779609167104,1094.0,1094.0,0.0,1370
233.3748876747484,0.9904237095593414,12.239759764489904,717.0,717.0,0.0,1370
-487.532049734598,0.9901267200435676,101.89763817728237,1071.0,1071.0,0.0,1370
-58.89451786787282,1.001117751630954,33.838741069055146,589.0,589.0,0.0,1370
-98.2219449187255,1.001103835038601,47.61600918921002,712.0,712.0,0.0,1370
-1086.6090828138397,0.7106042111583343,51.7858274062602,542.0,542.0,1.0,1370
-168.81906526702136,0.9903623342369356,64.39794422935023,801.0,801.0,0.0,1370
-969.241267862944,0.9152833699138166,23.800341084707416,928.0,928.0,1.0,1370
-1044.6270823580603,0.5633323482425355,45.04349380120901,242.0,242.0,1.0,1370
-1057.390395952619,0.3424496001137788,42.03670165822823,379.0,379.0,1.0,1370
-1123.0960087920917,0.4888168491801104,54.32352213416569,409.0,409.0,1.0,1370
203.01948632817258,0.990671539775235,16.9140651103629,757.0,757.0,0.0,1370
-332.087951044436,1.0005610611855036,97.76595584270827,649.0,649.0,0.0,1370
-245.403968826546,0.9998869766781509,58.90269390237935,827.0,827.0,0.0,1370
-168.81906526702136,0.9903623342369356,64.39794422935023,801.0,801.0,0.0,1370
27.71926320575799,0.990165289029981,34.394218283051416,592.0,592.0,0.0,1370
-1059.344533794334,0.3204451178113128,52.20307087141925,293.0,293.0,1.0,1370
-927.4175353404901,0.284030371403293,6.252053283848381,227.0,227.0,1.0,1370
-1123.0960087920917,0.4888168491801104,54.32352213416569,409.0,409.0,1.0,1370
-1001.9743592775595,0.5419819418178703,39.08585270212895,330.0,330.0,1.0,1370
36.187513356707534,0.9909418389260762,33.93634499215804,824.0,824.0,0.0,1370
-245.403968826546,0.9998869766781509,58.90269390237935,827.0,827.0,0.0,1370
-1086.2988090274505,0.44049926604107204,58.4054976794658,292.0,292.0,1.0,1370
73.18377549013518,0.9905264336088856,31.26441370702595,704.0,704.0,0.0,1370
-1059.344533794334,0.3204451178113128,52.20307087141925,293.0,293.0,1.0,1370
35.78120165231282,0.9903871666519046,33.36163201628611,757.0,757.0,0.0,1370
-1066.6503315197128,0.5122805860738776,25.15422518246883,583.0,583.0,1.0,1370
103.61228657857731,0.9912154638432554,27.827117902913788,697.0,697.0,0.0,1370
40.27925024732353,0.9901891566832249,36.480088388240596,717.0,717.0,0.0,1370
-1082.2880313363491,0.6144397509011658,39.443948604735056,483.0,483.0,1.0,1370
-986.1922415107767,0.5497759280227691,28.31599294356467,261.0,261.0,1.0,1370
-951.328234375002,0.3343131466256748,24.351085768172045,264.0,264.0,1.0,1370
-943.1236818627461,0.35115266757327224,15.737212399183626,230.0,230.0,1.0,1370
-913.843676718128,0.4308943810960032,12.51794864458241,277.0,277.0,1.0,1370
208.15310605791163,0.990036835958597,15.995605336490426,738.0,738.0,0.0,1370
-159.4258467895236,0.9908471189462026,48.818335231742246,898.0,898.0,0.0,1370
-83.29316703049022,0.9910131291388993,34.27028655760386,898.0,898.0,0.0,1370
57.10273660310907,0.9907643053442995,27.194372277978143,943.0,943.0,0.0,1370
-986.1922415107767,0.5497759280227691,28.31599294356467,261.0,261.0,1.0,1370
-1064.2205379554362,0.5430723132256018,44.42780115550716,429.0,429.0,1.0,1370
85.31461433715143,0.9911021231195665,26.089342389848827,768.0,768.0,0.0,1370
-911.3335912041724,0.5329640604863655,10.278035126999939,485.0,485.0,1.0,1370
163.26020792361993,0.9910261386793559,15.924645750319522,734.0,734.0,0.0,1370
76.69439269129643,1.000272258532212,24.118887162955588,667.0,667.0,0.0,1370
241.5835131122489,0.9907160871280417,8.708348446135235,686.0,686.0,0.0,1370
26.690768674526595,0.9900911925182617,36.22370668514749,816.0,816.0,0.0,1370
-76.8424780788908,0.9904595559097954,40.79208029553622,1043.0,1043.0,0.0,1370
231.09549849392704,0.9902296937792677,14.218863007517388,734.0,734.0,0.0,1370
1.98953680203438,0.9904374651188766,36.362674484105966,762.0,762.0,0.0,1370
-96.32686185952305,0.9905650074260859,47.73128767179805,777.0,777.0,0.0,1370
172.67027559064192,0.9905275013997381,14.586229817999454,750.0,750.0,0.0,1370
138.00686671405072,0.9904758058686862,29.292861449956096,751.0,751.0,0.0,1370
186.87860279549977,1.0002162227843208,14.936594391984189,657.0,657.0,0.0,1370
-1102.1130183196133,0.8686307030206247,57.699963753959125,678.0,678.0,1.0,1370
-1140.071998725785,0.2897349626099911,47.63105884896283,467.0,467.0,1.0,1370
166.9396509587754,0.9952818996986654,14.968335421285795,660.0,660.0,0.0,1370
-1033.8409096855607,0.2928224383118306,16.32974845336892,386.0,386.0,1.0,1370
191.92608578167852,0.9901099313080276,21.615835775329135,676.0,676.0,0.0,1370
8.89524884169113,0.9902066729618446,38.42780786185261,833.0,833.0,0.0,1370
228.99807060273838,0.9913431192634892,10.022423181842294,740.0,740.0,0.0,1370
-979.706538042442,0.6730859247877322,32.825528645156155,417.0,417.0,1.0,1370
-949.6750755919522,0.4016504714614019,28.56405617297553,300.0,300.0,1.0,1370
-877.3623673636464,0.29312665848064134,19.555344872131847,378.0,378.0,1.0,1370
107.29853441617468,1.0008204650365586,21.68009760102059,653.0,653.0,0.0,1370
-983.3624432064079,0.41821856965281934,23.881390808561896,345.0,345.0,1.0,1370
73.07471738635125,0.9908489923111619,34.42479833260692,693.0,693.0,0.0,1370
8.89524884169113,0.9902066729618446,38.42780786185261,833.0,833.0,0.0,1370
110.12135841581281,0.9900656003490567,26.75743101903457,679.0,679.0,0.0,1370
125.21638401945872,0.9905297864053416,26.22567988505894,807.0,807.0,0.0,1370
174.66895735435625,0.9913028381869524,21.7950763058658,760.0,760.0,0.0,1370
121.93216284257629,0.9908885154545851,27.413367512895753,751.0,751.0,0.0,1370
82.40536723132784,0.9904256032047641,29.746969095128716,905.0,905.0,0.0,1370
159.18256142491742,0.9901081787714058,21.984951916486555,668.0,668.0,0.0,1370
-955.3894371248172,0.45059904394264877,31.448410379669777,381.0,381.0,1.0,1370
126.57897137551993,0.9905413466860835,20.480072480867005,869.0,869.0,0.0,1370
-133.6313310294817,0.9905215695902138,61.22211936402751,707.0,707.0,0.0,1370
130.32942997380644,0.9903836985784965,23.890822504711643,729.0,729.0,0.0,1370
161.96672357913104,0.9909240737651585,23.312090274210508,689.0,689.0,0.0,1370
106.31130050761477,0.9906726888776038,29.353184777683403,671.0,671.0,0.0,1370
288.1229495273989,0.9916140679151002,9.001096175988973,754.0,754.0,0.0,1370
106.44679263683989,0.99066358814513,22.592435384926905,672.0,672.0,0.0,1370
164.23597902060092,1.0010125949819757,16.273467657189503,577.0,577.0,0.0,1370
-859.208101694161,0.639472386129753,16.778233399454184,591.0,591.0,1.0,1370
65.66126141507941,0.9905240567002609,31.591543361242024,692.0,692.0,0.0,1370
68.27335241225528,0.9910406244257037,33.023079968570755,650.0,650.0,0.0,1370
-93.4110304230515,0.9905997494937093,48.18003582979236,915.0,915.0,0.0,1370
206.78285452569415,0.9902530041400067,16.107316411778115,696.0,696.0,0.0,1370
288.1229495273989,0.9916140679151002,9.001096175988973,754.0,754.0,0.0,1370
82.77941968938134,0.9914416472302763,27.691751690530094,742.0,742.0,0.0,1370
188.5932514339147,0.9900975820091381,19.500334086295624,739.0,739.0,0.0,1370
-859.208101694161,0.639472386129753,16.778233399454184,591.0,591.0,1.0,1370
116.71892107703204,1.001013920329611,24.701296787712206,597.0,597.0,0.0,1370
233.89901310609906,0.9908708926750645,15.397092150204726,678.0,678.0,0.0,1370
157.85551724191868,0.990441329567007,22.074575636976327,707.0,707.0,0.0,1370
108.31004249950794,0.9903589519442091,32.239960017413374,642.0,642.0,0.0,1370
-1000.9701402733131,0.4160762286815778,27.664562176033932,476.0,476.0,1.0,1370
120.89911485305502,0.9909526961503465,23.7469239474031,669.0,669.0,0.0,1370
-1016.8349454513917,0.4823633552946271,39.30951518301309,325.0,325.0,1.0,1370
106.34917924065205,0.9901586861001291,26.643235519117383,688.0,688.0,0.0,1370
254.46986777787464,0.9904007933547126,11.90404000225003,667.0,667.0,0.0,1370
192.7944556730302,0.9909099834519857,17.201204210445372,755.0,755.0,0.0,1370
157.85551724191868,0.990441329567007,22.074575636976327,707.0,707.0,0.0,1370
209.90261541248927,0.9904490235603365,15.79636577922108,723.0,723.0,0.0,1370
-46.280734180268105,0.9904141118227114,49.42490158886331,736.0,736.0,0.0,1370
-1045.9953043242072,0.11512806176103703,38.101994760226724,219.0,219.0,1.0,1370
184.41891319117016,0.990417652570544,24.012853246118667,875.0,875.0,0.0,1370
73.86843288358145,0.9903738462327857,30.060857727934778,706.0,706.0,0.0,1370
132.31179648578183,0.9904960883098095,27.428885840430265,646.0,646.0,0.0,1370
205.53802893063096,0.9997794495429102,14.507666917114904,632.0,632.0,0.0,1370
-883.611072994364,0.8240986029540831,19.91280462823913,428.0,428.0,1.0,1370
-887.5781696781623,0.29635252138659396,4.512508040492325,269.0,269.0,1.0,1370
-943.2305684063238,0.4397497934442794,27.681556388021697,262.0,262.0,1.0,1370
186.89970847526348,0.9906426460737396,23.21771498246615,652.0,652.0,0.0,1370
184.41891319117016,0.990417652570544,24.012853246118667,875.0,875.0,0.0,1370
261.7485961578836,0.9905848633138871,18.258221524684043,742.0,742.0,0.0,1370
226.70544781362094,0.9907481539154854,19.64695713341011,735.0,735.0,0.0,1370
271.29152341032403,0.9905513610468156,13.324193426650835,682.0,682.0,0.0,1370
-784.5413015410904,0.6939736995068871,6.8891209773318165,505.0,505.0,1.0,1370
-937.1515684565002,0.2675217892565934,16.937471430319697,218.0,218.0,1.0,1370
