rewards,progresses,cross_track_errors,timesteps,durations,collisions,goals_reached
-1015.0861346986366,0.5964327945146779,36.66028770154881,314.0,314.0,1.0,1218
-1648.8775228476761,0.2377979564982574,281.2934371926387,2002.0,2002.0,0.0,1218
-1669.0831990804354,0.0,249.97838089060477,2002.0,2002.0,0.0,1218
-1453.9432735357111,0.646619466495421,204.11486618623724,2002.0,2002.0,0.0,1218
-1709.4552710435084,0.3427193581444962,217.2510014510726,2002.0,2002.0,0.0,1218
-1786.772708446511,0.09418054885981135,304.420053491307,2002.0,2002.0,0.0,1218
-1390.8226771903317,0.6927794920259324,98.13588591553867,748.0,748.0,1.0,1218
-910.3324393813233,0.34199764068041877,6.520855239133859,285.0,285.0,1.0,1218
-1558.3011153795285,0.21003220953232682,194.15513468119252,2002.0,2002.0,0.0,1218
-1648.8775228476761,0.2377979564982574,281.2934371926387,2002.0,2002.0,0.0,1218
-946.9292679606287,0.4365984438217159,23.762480154453133,402.0,402.0,1.0,1218
-1352.6482957943933,0.0,61.93144662573079,485.0,485.0,1.0,1218
-1709.4552710435084,0.3427193581444962,217.2510014510726,2002.0,2002.0,0.0,1218
-1786.772708446511,0.09418054885981135,304.420053491307,2002.0,2002.0,0.0,1218
-1390.8226771903317,0.6927794920259324,98.13588591553867,748.0,748.0,1.0,1218
-910.3324393813233,0.34199764068041877,6.520855239133859,285.0,285.0,1.0,1218
-1309.2434219685638,0.09724404494467906,66.14918313188383,426.0,426.0,1.0,1218
-1519.3967017458763,0.8905833165617743,246.17831934416455,2002.0,2002.0,0.0,1218
-1245.3707098677023,0.12071170759629278,62.27854706507049,412.0,412.0,1.0,1218
-1088.269919436674,0.37445497773116554,35.94371257278701,442.0,442.0,1.0,1218
-2501.9793670546715,0.8519662910564307,253.12894159997728,1874.0,1874.0,1.0,1218
-1754.5673390035222,0.3123770742115304,128.49079114203283,1082.0,1082.0,1.0,1218
-211.63811278123865,0.9908807684076498,44.2784498824691,738.0,738.0,0.0,1218
-1735.0503644300989,0.33791945739496193,118.124374075104,1038.0,1038.0,1.0,1218
-1130.4678966135614,1.0000086270494146,190.2492184477655,1525.0,1525.0,0.0,1218
-1519.3967017458763,0.8905833165617743,246.17831934416455,2002.0,2002.0,0.0,1218
55.39909842911777,0.9903089787630281,24.388561700386237,681.0,681.0,0.0,1218
-1251.440580736325,0.3582211550400221,68.351767015568,544.0,544.0,1.0,1218
-1263.2965312059846,0.897172429631021,78.1580690875394,695.0,695.0,1.0,1218
-1030.2950748654218,0.9903201541121752,229.14947438575018,1307.0,1307.0,0.0,1218
-211.63811278123865,0.9908807684076498,44.2784498824691,738.0,738.0,0.0,1218
-1735.0503644300989,0.33791945739496193,118.124374075104,1038.0,1038.0,1.0,1218
-1095.2507167838357,0.6103805635625712,49.11536618476148,466.0,466.0,1.0,1218
-931.7557163487053,0.4163759783144228,9.910450788710119,265.0,265.0,1.0,1218
-1268.0365177230556,0.0,12.891561791456262,435.0,435.0,1.0,1218
-1134.1695919813396,0.33328189954889653,56.542597962151234,328.0,328.0,1.0,1218
-78.35455868833279,0.9900027725882853,45.03580107712475,870.0,870.0,0.0,1218
-114.09044690430258,0.9909697225774112,36.21458074101986,887.0,887.0,0.0,1218
-404.2209272824854,0.9916994917643775,83.68565704634176,928.0,928.0,0.0,1218
-765.1042698050729,0.9996699483897445,113.53456371233592,1307.0,1307.0,0.0,1218
4.365221099917678,0.9907517867426558,35.28644817827988,890.0,890.0,0.0,1218
-931.7557163487053,0.4163759783144228,9.910450788710119,265.0,265.0,1.0,1218
-867.5112161537982,0.6511505260398393,7.795515123586006,515.0,515.0,1.0,1218
-1057.3038382553098,0.184021999701811,32.784161104988364,267.0,267.0,1.0,1218
-914.760329758195,0.44109530726366825,8.4360630727635,253.0,253.0,1.0,1218
-1056.6262445832533,0.2820124338025549,24.891958643023877,390.0,390.0,1.0,1218
115.02651599414541,0.9903433457923179,19.69478921202801,756.0,756.0,0.0,1218
150.48453008565107,0.9993210768048058,13.564214217242437,694.0,694.0,0.0,1218
-1119.6279195627026,0.4230507211493984,44.351114620294084,305.0,305.0,1.0,1218
-137.83618723397439,0.9901893559496915,38.17755098933753,1151.0,1151.0,0.0,1218
-975.8782700243229,0.5310971258951497,29.217367239104245,413.0,413.0,1.0,1218
17.563855313753777,0.990835735714194,37.598448590892104,771.0,771.0,0.0,1218
-1320.5101194090764,0.9016677614774528,75.03547056870153,966.0,966.0,1.0,1218
-1108.8045047818684,0.32115190014117156,66.1543734530863,337.0,337.0,1.0,1218
-217.65074226044655,0.9908414008702471,63.17588728925673,886.0,886.0,0.0,1218
-141.24414804769566,0.9904163740133659,53.08847397020646,944.0,944.0,0.0,1218
85.00965084291865,0.9900466537747167,12.539204577281463,959.0,959.0,0.0,1218
-955.2781531033748,0.2860441030915806,16.208561281810496,292.0,292.0,1.0,1218
-1170.2947258641732,0.402286211352443,42.625784623859985,578.0,578.0,1.0,1218
-68.52389866608277,0.9902599588798462,37.25572550145658,847.0,847.0,0.0,1218
-1320.5101194090764,0.9016677614774528,75.03547056870153,966.0,966.0,1.0,1218
-1108.8045047818684,0.32115190014117156,66.1543734530863,337.0,337.0,1.0,1218
137.10367066770002,0.9904103853671954,18.290767206888905,761.0,761.0,0.0,1218
-141.24414804769566,0.9904163740133659,53.08847397020646,944.0,944.0,0.0,1218
-131.70566855417505,1.001117751630954,39.10782897294675,622.0,622.0,0.0,1218
-1132.5139972362367,0.17412948850191104,42.025655827508196,282.0,282.0,1.0,1218
131.58545546606973,0.9988982712207526,23.947290869384485,706.0,706.0,0.0,1218
112.8258524928037,0.9901594434581762,23.208545568801796,793.0,793.0,0.0,1218
-167.59798943387977,0.9904780542397379,51.830159579248935,887.0,887.0,0.0,1218
147.38192986877175,0.9902906189460693,14.003980099032004,876.0,876.0,0.0,1218
136.8409401559289,0.9905806630653222,20.068838543159245,636.0,636.0,0.0,1218
-54.86885018253998,0.9902348456932943,41.11200578961708,878.0,878.0,0.0,1218
70.76844188900289,0.9909631277748034,23.54127789221203,790.0,790.0,0.0,1218
72.07919553157743,0.9900953936520771,31.070202212672555,704.0,704.0,0.0,1218
93.82637737300574,1.0012265634343758,20.10203702043195,677.0,677.0,0.0,1218
112.8258524928037,0.9901594434581762,23.208545568801796,793.0,793.0,0.0,1218
40.84334931527276,1.000175453590418,30.135839639367454,789.0,789.0,0.0,1218
-1127.025116429287,0.48151734006071756,39.90295986052711,391.0,391.0,1.0,1218
-29.29139200903332,0.9906227873539588,38.859253345116684,777.0,777.0,0.0,1218
211.65596025795568,0.9903835780476694,8.620384114542016,770.0,770.0,0.0,1218
-55.57409586302599,1.0004492055530974,38.14083662940576,760.0,760.0,0.0,1218
55.2415166451616,0.9908460690578931,28.324972433371798,787.0,787.0,0.0,1218
79.13566373488365,0.9907320106403203,24.717982011685624,668.0,668.0,0.0,1218
7.819330383487848,0.9901216215129448,30.254624754129157,938.0,938.0,0.0,1218
-1026.391491207208,0.0,25.27617520903471,257.0,257.0,1.0,1218
-1127.025116429287,0.48151734006071756,39.90295986052711,391.0,391.0,1.0,1218
164.81530041597,0.9910482836112438,22.89541150066337,691.0,691.0,0.0,1218
178.30126632719987,0.9901856147612952,19.297729420553214,691.0,691.0,0.0,1218
98.17281355195561,0.9903038864267429,29.37686947878208,706.0,706.0,0.0,1218
132.56542638876897,0.990587410087874,21.57866292550103,670.0,670.0,0.0,1218
151.60593763206856,0.9908636331036093,22.360204628736863,721.0,721.0,0.0,1218
-95.217061254006,0.9901851268401883,41.05914712709804,851.0,851.0,0.0,1218
-894.2001484498477,0.5394336931043904,11.310035332254746,411.0,411.0,1.0,1218
110.09480703327331,0.9902769460872638,24.511965863086115,835.0,835.0,0.0,1218
-984.6990214127734,0.48461882588646943,26.410011864906675,276.0,276.0,1.0,1218
-976.3878956335756,0.10576887563842598,17.04126234177327,158.0,158.0,1.0,1218
-7.733706962058572,0.9997864145449581,32.60509454101943,858.0,858.0,0.0,1218
-1020.7568249624705,0.29679590091331315,25.965133179896835,346.0,346.0,1.0,1218
156.95649863189055,0.9910462222189791,22.759645046256853,754.0,754.0,0.0,1218
-939.2013198509198,0.5614940932959841,19.550491973467572,338.0,338.0,1.0,1218
-904.4015927522639,0.4326459553849026,7.681056236049079,339.0,339.0,1.0,1218
112.62367823884348,0.9908426278474283,27.02127433902913,827.0,827.0,0.0,1218
-906.7733748143182,0.5318407472847931,16.092909335893896,384.0,384.0,1.0,1218
-10.315581540805058,0.9908399803430925,42.53521479396967,898.0,898.0,0.0,1218
