rewards,progresses,cross_track_errors,timesteps,durations,collisions,goals_reached
-1323.416664753182,0.14052197889801857,81.66589376876176,498.0,498.0,1.0,1327
-1599.7761408603376,0.0,75.65311483079479,2002.0,2002.0,0.0,1327
-122.74477545654904,0.9909828099679887,42.171956035971974,828.0,828.0,0.0,1327
-176.41173114774017,0.9907259945495845,63.56420615140206,812.0,812.0,0.0,1327
-1768.6138970669592,0.09834133078062728,288.4761143131898,2002.0,2002.0,0.0,1327
-1567.5221651244449,0.0,208.31396674809696,2002.0,2002.0,0.0,1327
-1039.6744040094216,0.5176781629301008,34.652902914839515,571.0,571.0,1.0,1327
-1924.472842762692,0.0,318.52017486355163,2002.0,2002.0,0.0,1327
-1673.373859365278,0.0,97.91588528524659,2002.0,2002.0,0.0,1327
-1599.7761408603376,0.0,75.65311483079479,2002.0,2002.0,0.0,1327
-1443.0590117229747,0.7149719647725098,238.2071714808612,2002.0,2002.0,0.0,1327
-176.41173114774017,0.9907259945495845,63.56420615140206,812.0,812.0,0.0,1327
-1381.4932906399868,0.46887805865511584,109.66215280144122,678.0,678.0,1.0,1327
-1434.1631045683116,0.1513028029223783,48.72187023955589,1024.0,1024.0,1.0,1327
-1039.6744040094216,0.5176781629301008,34.652902914839515,571.0,571.0,1.0,1327
-1715.1513422516239,0.4197098003428995,90.91981130074348,1341.0,1341.0,1.0,1327
-1131.00879460561,0.0,51.877331776380764,2002.0,2002.0,0.0,1327
-1999.0291039562476,0.5778441231432947,199.2158049048812,1347.0,1347.0,1.0,1327
-1285.7183414518295,0.6419899511398824,96.58113803904698,579.0,579.0,1.0,1327
-1818.0049534562759,0.0,87.24903310595244,1440.0,1440.0,1.0,1327
-1805.9971703174956,0.0,56.90265776550359,1452.0,1452.0,1.0,1327
-1647.4277713271113,0.1537202769007547,71.40287457934926,1133.0,1133.0,1.0,1327
-1235.1001930968375,0.0,66.66635779817106,2002.0,2002.0,0.0,1327
-781.3261183098736,0.7427207396583901,54.04475534542134,2002.0,2002.0,0.0,1327
-906.2875142773919,0.9992497760570728,130.4716984132462,1265.0,1265.0,0.0,1327
-956.1434466845949,0.22575554498762218,103.88557042949644,2002.0,2002.0,0.0,1327
-1122.8067870823081,0.3030575742927725,38.6192702975546,438.0,438.0,1.0,1327
-1818.0049534562759,0.0,87.24903310595244,1440.0,1440.0,1.0,1327
-1013.9187695265729,0.6534307559777914,32.50699163716137,610.0,610.0,1.0,1327
-1647.4277713271113,0.1537202769007547,71.40287457934926,1133.0,1133.0,1.0,1327
-1235.1001930968375,0.0,66.66635779817106,2002.0,2002.0,0.0,1327
-1346.6024672429958,0.14779514012070255,90.79651958446091,520.0,520.0,1.0,1327
-906.2875142773919,0.9992497760570728,130.4716984132462,1265.0,1265.0,0.0,1327
-956.1434466845949,0.22575554498762218,103.88557042949644,2002.0,2002.0,0.0,1327
-1003.0211374517855,0.0,24.583885596369306,134.0,134.0,1.0,1327
-1818.0049534562759,0.0,87.24903310595244,1440.0,1440.0,1.0,1327
-112.21115216357795,1.0002932208985997,45.24221579052195,786.0,786.0,0.0,1327
-1350.2580997837952,0.7736236075700241,156.53216627504517,2002.0,2002.0,0.0,1327
-760.864669125496,0.20219421775550697,44.942075275264386,2002.0,2002.0,0.0,1327
-327.81489587549845,0.9901690199734857,86.04270539125372,966.0,966.0,0.0,1327
-906.2875142773919,0.9992497760570728,130.4716984132462,1265.0,1265.0,0.0,1327
-1150.2803529600258,0.7498921361528494,115.91910731122368,2002.0,2002.0,0.0,1327
-565.0145254208477,0.9989369864900022,143.06874143149403,858.0,858.0,0.0,1327
-2467.175415885355,0.14799057132622806,217.08080063000688,1790.0,1790.0,1.0,1327
-518.8667795774834,1.0004163419758183,101.55352048178302,848.0,848.0,0.0,1327
36.82441657694966,0.9902851475888486,33.19168874627265,686.0,686.0,0.0,1327
-760.864669125496,0.20219421775550697,44.942075275264386,2002.0,2002.0,0.0,1327
-88.53156207356119,0.9902611799349528,45.99058044118294,869.0,869.0,0.0,1327
-1252.0398807965719,0.9454454409414198,201.66611953377537,2002.0,2002.0,0.0,1327
-1150.2803529600258,0.7498921361528494,115.91910731122368,2002.0,2002.0,0.0,1327
